snapshot_date,id,name,full_name,html_url,description,stargazers_count,forks_count,open_issues_count,contributors_count,hot_score,language,topics,created_at,updated_at,pushed_at
2026-03-19,787076358,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,95041,6510,219,100,58987.6,TypeScript,"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping",2024-04-15T21:02:29Z,2026-03-19T09:28:14Z,2026-03-19T05:51:53Z
2026-03-20,787076358,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,95380,6518,221,100,59193.4,TypeScript,"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping",2024-04-15T21:02:29Z,2026-03-20T02:32:40Z,2026-03-20T02:18:54Z
2026-03-19,646410686,LlamaFactory,hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),68710,8374,931,100,43748.2,Python,"agent,ai,deepseek,fine-tuning,gemma,gpt,instruction-tuning,large-language-models,llama,llama3,llm,lora,moe,nlp,peft,qlora,quantization,qwen,rlhf,transformers",2023-05-28T10:09:12Z,2026-03-19T09:18:10Z,2026-03-18T11:18:06Z
2026-03-20,646410686,LlamaFactory,hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),68748,8381,933,100,43773.1,Python,"agent,ai,deepseek,fine-tuning,gemma,gpt,instruction-tuning,large-language-models,llama,llama3,llm,lora,moe,nlp,peft,qlora,quantization,qwen,rlhf,transformers",2023-05-28T10:09:12Z,2026-03-20T02:02:41Z,2026-03-18T11:18:06Z
2026-03-19,155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",158071,32541,2291,100,104614.9,Python,"audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm",2018-10-29T13:56:00Z,2026-03-19T09:22:21Z,2026-03-19T08:49:25Z
2026-03-20,155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",158119,32551,2281,100,104646.7,Python,"audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm",2018-10-29T13:56:00Z,2026-03-20T02:17:10Z,2026-03-19T21:22:29Z
2026-03-19,730534580,ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,75480,8453,3130,100,47833.9,Python,"agent,agentic,agentic-ai,agentic-workflow,ai,ai-search,context-engineering,context-retrieval,deep-research,deepseek,deepseek-r1,document-parser,document-understanding,graphrag,llm,mcp,ollama,openai,rag,retrieval-augmented-generation",2023-12-12T06:13:13Z,2026-03-19T09:26:56Z,2026-03-19T09:06:55Z
2026-03-20,730534580,ragflow,infiniflow/ragflow,https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,75543,8461,3133,100,47874.1,Python,"agent,agentic,agentic-ai,agentic-workflow,ai,ai-search,context-engineering,context-retrieval,deep-research,deepseek,deepseek-r1,document-parser,document-understanding,graphrag,llm,mcp,ollama,openai,rag,retrieval-augmented-generation",2023-12-12T06:13:13Z,2026-03-20T02:30:55Z,2026-03-19T13:34:09Z
2026-03-19,552661142,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform,130167,21464,505,100,84549.4,Python,"agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",2022-10-17T02:58:36Z,2026-03-19T09:26:24Z,2026-03-19T08:18:52Z
2026-03-20,552661142,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform,130279,21485,474,100,84622.9,Python,"agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",2022-10-17T02:58:36Z,2026-03-20T02:31:27Z,2026-03-19T23:35:49Z
2026-03-19,626805178,dify,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,133517,20792,804,100,86357.8,TypeScript,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",2023-04-12T07:40:24Z,2026-03-19T09:28:05Z,2026-03-19T09:08:37Z
2026-03-20,626805178,dify,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,133612,20804,810,100,86418.4,TypeScript,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",2023-04-12T07:40:24Z,2026-03-20T02:31:34Z,2026-03-20T02:25:07Z
2026-03-19,656099147,mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,50378,5608,677,100,31919.2,Python,"agents,ai,ai-agents,application,chatbots,chatgpt,genai,llm,long-term-memory,memory,memory-management,python,rag,state-management",2023-06-20T08:58:36Z,2026-03-19T09:28:08Z,2026-03-19T08:45:38Z
2026-03-20,656099147,mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,Universal memory layer for AI Agents,50442,5625,647,100,31962.7,Python,"agents,ai,ai-agents,application,chatbots,chatgpt,genai,llm,long-term-memory,memory,memory-management,python,rag,state-management",2023-06-20T08:58:36Z,2026-03-20T02:29:47Z,2026-03-19T16:56:21Z
2026-03-19,655099582,llm-course,mlabonne/llm-course,https://github.com/mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,77030,8905,78,3,48889.8,,"course,large-language-models,llm,machine-learning,roadmap",2023-06-17T22:16:25Z,2026-03-19T09:17:34Z,2026-02-05T13:09:26Z
2026-03-20,655099582,llm-course,mlabonne/llm-course,https://github.com/mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,77080,8908,78,3,48920.7,,"course,large-language-models,llm,machine-learning,roadmap",2023-06-17T22:16:25Z,2026-03-20T02:30:58Z,2026-02-05T13:09:26Z
2026-03-19,658928958,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",165541,15052,2679,100,103850.2,Go,"deepseek,gemma,gemma3,glm,go,golang,gpt-oss,llama,llama3,llm,llms,minimax,mistral,ollama,qwen",2023-06-26T19:39:32Z,2026-03-19T09:26:11Z,2026-03-19T00:09:53Z
2026-03-20,658928958,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",165622,15063,2689,100,103902.1,Go,"deepseek,gemma,gemma3,glm,go,golang,gpt-oss,llama,llama3,llm,llms,minimax,mistral,ollama,qwen",2023-06-26T19:39:32Z,2026-03-20T02:28:48Z,2026-03-20T00:44:30Z
2026-03-19,701547123,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",127806,18061,311,100,82111.9,Python,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",2023-10-06T22:08:27Z,2026-03-19T09:22:37Z,2026-03-18T22:42:25Z
2026-03-20,701547123,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",127922,18076,318,100,82186.0,Python,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",2023-10-06T22:08:27Z,2026-03-20T02:25:09Z,2026-03-20T00:52:44Z
2026-03-19,668195240,llm-app,pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.",57451,1388,8,23,34889.3,Jupyter Notebook,"chatbot,hugging-face,llm,llm-local,llm-prompting,llm-security,llmops,machine-learning,open-ai,pathway,rag,real-time,retrieval-augmented-generation,vector-database,vector-index",2023-07-19T08:43:37Z,2026-03-19T09:28:04Z,2026-01-07T11:59:38Z
2026-03-20,668195240,llm-app,pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.",57772,1392,8,23,35083.1,Jupyter Notebook,"chatbot,hugging-face,llm,llm-local,llm-prompting,llm-security,llmops,machine-learning,open-ai,pathway,rag,real-time,retrieval-augmented-generation,vector-database,vector-index",2023-07-19T08:43:37Z,2026-03-20T02:23:23Z,2026-01-07T11:59:38Z
2026-03-19,669879380,LLMs-from-scratch,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",88702,13542,5,57,57289.49999999999,Jupyter Notebook,"ai,artificial-intelligence,chatbot,chatgpt,deep-learning,from-scratch,generative-ai,gpt,language-model,large-language-models,llm,machine-learning,neural-networks,python,pytorch,transformers",2023-07-23T18:15:57Z,2026-03-19T09:19:09Z,2026-03-07T23:05:50Z
2026-03-20,669879380,LLMs-from-scratch,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",88767,13560,7,57,57333.9,Jupyter Notebook,"ai,artificial-intelligence,chatbot,chatgpt,deep-learning,from-scratch,generative-ai,gpt,language-model,large-language-models,llm,machine-learning,neural-networks,python,pytorch,transformers",2023-07-23T18:15:57Z,2026-03-20T02:28:21Z,2026-03-07T23:05:50Z
2026-03-19,725205304,unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,"Unified web UI for training and running open models like Qwen, DeepSeek, gpt-oss and Gemma locally.",56250,4714,984,100,35174.2,Python,"agent,deepseek,deepseek-r1,fine-tuning,gemma,gemma3,gpt-oss,llama,llama3,llm,llms,mistral,openai,qwen,qwen3,reinforcement-learning,text-to-speech,tts,unsloth,voice-cloning",2023-11-29T16:50:09Z,2026-03-19T09:28:58Z,2026-03-19T09:28:53Z
2026-03-20,725205304,unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,"Unified web UI for training and running open models like Qwen, DeepSeek, gpt-oss and Gemma locally.",56755,4764,997,100,35492.2,Python,"agent,deepseek,deepseek-r1,fine-tuning,gemma,gemma3,gpt-oss,llama,llama3,llm,llms,mistral,openai,qwen,qwen3,reinforcement-learning,text-to-speech,tts,unsloth,voice-cloning",2023-11-29T16:50:09Z,2026-03-20T02:30:42Z,2026-03-19T22:27:35Z
2026-03-19,599547518,vllm,vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,73637,14535,3787,100,48552.7,Python,"amd,blackwell,cuda,deepseek,deepseek-v3,gpt,gpt-oss,inference,kimi,llama,llm,llm-serving,model-serving,moe,openai,pytorch,qwen,qwen3,tpu,transformer",2023-02-09T11:23:20Z,2026-03-19T09:23:31Z,2026-03-19T09:23:24Z
2026-03-20,599547518,vllm,vllm-project/vllm,https://github.com/vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,73735,14560,3806,100,48619.0,Python,"amd,blackwell,cuda,deepseek,deepseek-v3,gpt,gpt-oss,inference,kimi,llama,llm,llm-serving,model-serving,moe,openai,pytorch,qwen,qwen3,tpu,transformer",2023-02-09T11:23:20Z,2026-03-20T02:26:05Z,2026-03-20T02:29:41Z
